type,amount,oldbalanceOrg,newbalanceOrig,isFraud
CASH_OUT,183806.32,19391.0,0.0,0
PAYMENT,521.37,0.0,0.0,0
PAYMENT,3478.18,19853.0,16374.82,0
PAYMENT,1716.05,5769.17,4053.13,0
CASH_IN,253129.93,1328499.49,1581629.42,0
PAYMENT,24768.57,21573.0,0.0,0
CASH_OUT,124718.38,0.0,0.0,0
PAYMENT,1464.13,60483.0,59018.87,0
TRANSFER,353783.72,0.0,0.0,0
CASH_IN,266999.97,7411271.89,7678271.86,0
CASH_IN,53230.73,895081.62,948312.35,0
CASH_OUT,195227.91,0.0,0.0,0
CASH_OUT,39108.07,0.0,0.0,0
CASH_OUT,417787.06,36702.0,0.0,0
DEBIT,819.35,274494.0,273674.65,0
PAYMENT,4017.63,10306.0,6288.37,0
PAYMENT,14691.54,0.0,0.0,0
CASH_OUT,239121.18,0.0,0.0,0
CASH_OUT,3167.66,62536.0,59368.34,0
CASH_OUT,270566.57,6494.0,0.0,0
PAYMENT,9608.56,26809.0,17200.44,0
PAYMENT,180.04,21007.0,20826.96,0
PAYMENT,834.62,20508.0,19673.38,0
CASH_OUT,219979.57,50068.0,0.0,0
CASH_OUT,258953.67,3617.29,0.0,0
CASH_OUT,124885.22,0.0,0.0,0
CASH_IN,198887.55,7453814.02,7652701.56,0
PAYMENT,17968.47,0.0,0.0,0
CASH_OUT,57701.37,276.0,0.0,0
CASH_OUT,147803.6,73820.0,0.0,0
CASH_OUT,200330.14,387.0,0.0,0
CASH_OUT,377275.45,0.0,0.0,0
PAYMENT,3950.45,0.0,0.0,0
PAYMENT,17678.74,0.0,0.0,0
CASH_OUT,97315.53,154925.0,57609.47,0
PAYMENT,22173.62,0.0,0.0,0
CASH_IN,221420.51,6648016.21,6869436.72,0
CASH_OUT,629431.23,214049.0,0.0,0
PAYMENT,5521.12,51674.0,46152.88,0
PAYMENT,2904.77,2041.0,0.0,0
CASH_OUT,274751.1,55268.44,0.0,0
CASH_IN,116940.06,8006023.41,8122963.47,0
CASH_OUT,21050.76,0.0,0.0,0
CASH_OUT,152046.3,91550.41,0.0,0
CASH_OUT,291182.56,11149.0,0.0,0
PAYMENT,1531.71,22881.0,21349.29,0
CASH_OUT,13845.29,0.0,0.0,0
PAYMENT,1188.95,0.0,0.0,0
PAYMENT,12667.7,374871.91,362204.22,0
CASH_OUT,65516.41,115018.0,49501.59,0
PAYMENT,17457.41,0.0,0.0,0
PAYMENT,1015.43,0.0,0.0,0
CASH_IN,96067.45,1646219.8,1742287.24,0
PAYMENT,1604.03,210409.0,208804.97,0
PAYMENT,14330.33,33848.77,19518.44,0
CASH_OUT,229110.92,19919.0,0.0,0
PAYMENT,14057.22,0.0,0.0,0
PAYMENT,14167.99,0.0,0.0,0
CASH_OUT,138340.69,58350.59,0.0,0
PAYMENT,9021.0,105202.0,96181.0,0
CASH_IN,85955.34,157044.0,242999.34,0
CASH_IN,132823.81,9132442.11,9265265.92,0
CASH_IN,422018.23,42596.0,464614.23,0
CASH_OUT,109480.44,35608.0,0.0,0
CASH_OUT,386838.1,0.0,0.0,0
CASH_IN,306069.37,30735.0,336804.37,0
CASH_OUT,84782.1,105294.0,20511.9,0
CASH_IN,87999.13,5084256.68,5172255.81,0
PAYMENT,5733.6,20870.0,15136.4,0
PAYMENT,3842.48,20043.0,16200.52,0
PAYMENT,8772.84,31132.0,22359.16,0
PAYMENT,5038.94,2662.0,0.0,0
PAYMENT,32728.65,27874.0,0.0,0
CASH_IN,519426.69,16722458.72,17241885.4,0
CASH_OUT,406693.65,0.0,0.0,0
CASH_IN,351916.36,8083.0,359999.36,0
PAYMENT,1926.85,607.0,0.0,0
PAYMENT,3202.17,732.0,0.0,0
CASH_OUT,144743.02,6017.0,0.0,0
PAYMENT,853.36,1062.0,208.64,0
PAYMENT,4986.64,0.0,0.0,0
CASH_OUT,62040.38,0.0,0.0,0
CASH_OUT,4740.25,0.0,0.0,0
CASH_OUT,149869.26,50856.0,0.0,0
CASH_OUT,20304.22,31432.0,11127.78,0
TRANSFER,555624.58,147.0,0.0,0
PAYMENT,12819.63,0.0,0.0,0
TRANSFER,1028852.71,20246.0,0.0,0
CASH_IN,283.6,5996440.38,5996723.97,0
CASH_IN,230630.03,3441454.26,3672084.3,0
PAYMENT,19578.16,5091.0,0.0,0
PAYMENT,785.1,193137.28,192352.18,0
PAYMENT,17899.13,11692.0,0.0,0
CASH_IN,82914.11,11220.0,94134.11,0
CASH_OUT,105677.03,0.0,0.0,0
CASH_OUT,273064.49,0.0,0.0,0
PAYMENT,5130.06,18605.39,13475.33,0
PAYMENT,29175.35,40169.0,10993.65,0
CASH_OUT,21391.53,42287.0,20895.47,0
CASH_OUT,81595.54,20791.0,0.0,0
PAYMENT,29577.2,153200.0,123622.8,0
CASH_OUT,253979.48,10760.0,0.0,0
PAYMENT,9554.61,0.0,0.0,0
CASH_OUT,25634.56,0.0,0.0,0
TRANSFER,213399.85,94501.0,0.0,0
PAYMENT,13195.74,0.0,0.0,0
CASH_OUT,245481.3,0.0,0.0,0
CASH_OUT,173663.28,185.0,0.0,0
